Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,356,000",678.13,"2,000",Jul-22,Strata,63,"21,524",99 yrs lease commencing from 1970,02,26 to 30
CENTRIUM SQUARE,SERANGOON ROAD,Office,"2,750,000",990.29,"2,777",Jul-22,Strata,92,"29,891",Freehold,08,11 to 15
THE CENTRAL,EU TONG SEN STREET,Office,"1,820,000",645.84,"2,818",Jul-22,Strata,60,"30,333",99 yrs lease commencing from 2001,01,21 to 25
STUDIO8,JALAN AYER,Office,"660,000",365.98,"1,803",Jul-22,Strata,34,"19,412",Freehold,14,01 to 05
THE CENTRAL,EU TONG SEN STREET,Office,"2,398,000",861.12,"2,785",Jul-22,Strata,80,"29,975",99 yrs lease commencing from 2001,01,16 to 20
THE CENTRAL,EU TONG SEN STREET,Office,"1,776,500",635.08,"2,797",Jul-22,Strata,59,"30,110",99 yrs lease commencing from 2001,01,16 to 20
TEXTILE CENTRE,JALAN SULTAN,Office,"1,350,000","1,065.64","1,267",Jun-22,Strata,99,"13,636",99 yrs lease commencing from 1970,07,01 to 05
TAHIR BUILDING,ROBINSON ROAD,Office,"2,070,000",645.84,"3,205",Jun-22,Strata,60,"34,500",Freehold,01,06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"1,650,000",645.84,"2,555",Jun-22,Strata,60,"27,500",99 yrs lease commencing from 2001,01,16 to 20
PEOPLE'S PARK COMPLEX,PARK ROAD,Office,"1,800,000",602.78,"2,986",Jun-22,Strata,56,"32,143",99 yrs lease commencing from 1968,01,01 to 05
THE PLAZA,BEACH ROAD,Office,"1,027,000",678.13,"1,514",Jun-22,Strata,63,"16,302",99 yrs lease commencing from 1968,07,01 to 05
THE PLAZA,BEACH ROAD,Office,"510,000",312.16,"1,634",Jun-22,Strata,29,"17,586",99 yrs lease commencing from 1968,07,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"880,000",505.91,"1,739",Jun-22,Strata,47,"18,723",99 yrs lease commencing from 2011,14,06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"1,488,000",635.08,"2,343",Jun-22,Strata,59,"25,220",99 yrs lease commencing from 2001,01,06 to 10
VISION EXCHANGE,VENTURE DRIVE,Office,"2,805,000","1,313.21","2,136",Jun-22,Strata,122,"22,992",99 yrs lease commencing from 2013,22,06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"2,913,900",882.65,"3,301",Jun-22,Strata,82,"35,535",99 yrs lease commencing from 2001,01,16 to 20
WIS@CHANGI,CHANGI ROAD,Office,"850,000",699.66,"1,215",Jun-22,Strata,65,"13,077",Freehold,14,01 to 05
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Office,"1,900,000","1,248.62","1,522",Jun-22,Strata,116,"16,379",999 yrs lease commencing from 1883,21,16 to 20
SOHO LIFE,JOO CHIAT ROAD,Office,"550,000",355.21,"1,548",Jun-22,Strata,33,"16,667",Freehold,15,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"650,000",527.44,"1,232",Jun-22,Strata,49,"13,265",99 yrs lease commencing from 1969,03,11 to 15
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"550,000",441.32,"1,246",Jun-22,Strata,41,"13,415",99 yrs lease commencing from 1969,03,11 to 15
SOHO LIFE,JOO CHIAT ROAD,Office,"650,000",398.27,"1,632",Jun-22,Strata,37,"17,568",Freehold,15,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,000,000",484.38,"2,064",Jun-22,Strata,45,"22,222",99 yrs lease commencing from 2011,14,11 to 15
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,820,520",936.47,"1,944",Jun-22,Strata,87,"20,926",99 yrs lease commencing from 2014,25,06 to 10
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Office,"762,500",182.99,"4,167",Jun-22,Strata,17,"44,853",999 yrs lease commencing from 1883,21,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"4,361,700","2,077.45","2,100",Jun-22,Strata,193,"22,599",99 yrs lease commencing from 2011,14,06 to 10
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,440,000",850.36,"1,693",Jun-22,Strata,79,"18,228",99 yrs lease commencing from 1997,07,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"2,175,424","1,044.11","2,084",Jun-22,Strata,97,"22,427",99 yrs lease commencing from 2014,25,06 to 10
NEHSONS BUILDING,PECK SEAH STREET,Office,"111,100,000","13,818.82","8,040",Jun-22,Land,"1,283.8","86,540",99 yrs lease commencing from 1970,02,-
THE MODULES,JOO CHIAT ROAD,Office,"1,520,000",839.59,"1,810",Jun-22,Strata,78,"19,487",Freehold,15,01 to 05
CORONATION SHOPPING PLAZA,BUKIT TIMAH ROAD,Office,"1,130,000",269.1,"4,199",Jun-22,Strata,25,"45,200",Freehold,10,01 to 05
HIGH STREET PLAZA,HIGH STREET,Office,"271,250",129.17,"2,100",Jun-22,Strata,12,"22,604",999 yrs lease commencing from 1827,06,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,239,000",645.84,"1,918",Jun-22,Strata,60,"20,650",99 yrs lease commencing from 2014,25,01 to 05
ICON@CHANGI,CHANGI ROAD,Office,"605,000",333.68,"1,813",Jun-22,Strata,31,"19,516",Freehold,14,01 to 05
REGENCY SUITES,KIM TIAN ROAD,Office,"1,200,000",592.02,"2,027",Jun-22,Strata,55,"21,818",Freehold,03,01 to 05
THE CENTRAL,EU TONG SEN STREET,Office,"1,338,000",635.08,"2,107",Jun-22,Strata,59,"22,678",99 yrs lease commencing from 2001,01,01 to 05
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"1,560,000",656.6,"2,376",Jun-22,Strata,61,"25,574",999 yrs lease commencing from 1829,06,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,100,000",516.67,"2,129",Jun-22,Strata,48,"22,917",99 yrs lease commencing from 2011,14,11 to 15
CENTROPOD @ CHANGI,CHANGI ROAD,Office,"1,129,600",764.24,"1,478",Jun-22,Strata,71,"15,910",Freehold,14,01 to 05
CENTROPOD @ CHANGI,CHANGI ROAD,Office,"1,098,200",645.84,"1,700",Jun-22,Strata,60,"18,303",Freehold,14,01 to 05
LOFT @ NATHAN,RIVER VALLEY ROAD,Office,"1,350,000",516.67,"2,613",Jun-22,Strata,48,"28,125",Freehold,10,01 to 05
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,"780,000",699.66,"1,115",May-22,Strata,65,"12,000",99 yrs lease commencing from 1974,07,06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"1,680,000",645.84,"2,601",May-22,Strata,60,"28,000",99 yrs lease commencing from 2001,01,21 to 25
VISION EXCHANGE,VENTURE DRIVE,Office,"1,250,000",764.24,"1,636",May-22,Strata,71,"17,606",99 yrs lease commencing from 2013,22,06 to 10
CHINATOWN POINT,NEW BRIDGE ROAD,Office,"4,600,000","2,346.55","1,960",May-22,Strata,218,"21,101",99 yrs lease commencing from 1980,01,16 to 20
THE CENTRAL,EU TONG SEN STREET,Office,"3,404,800","1,216.33","2,799",May-22,Strata,113,"30,131",99 yrs lease commencing from 2001,01,21 to 25
SOUTHBANK,NORTH BRIDGE ROAD,Office,"1,110,000",602.78,"1,841",May-22,Strata,56,"19,821",99 yrs lease commencing from 2006,07,01 to 05
PEOPLE'S PARK COMPLEX,PARK ROAD,Office,"828,000",484.38,"1,709",May-22,Strata,45,"18,400",99 yrs lease commencing from 1968,01,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,111,315",559.73,"1,985",May-22,Strata,52,"21,371",99 yrs lease commencing from 2014,25,01 to 05
TEXTILE CENTRE,JALAN SULTAN,Office,"911,888",914.94,997,May-22,Strata,85,"10,728",99 yrs lease commencing from 1970,07,06 to 10
TEXTILE CENTRE,JALAN SULTAN,Office,"918,000",807.3,"1,137",May-22,Strata,75,"12,240",99 yrs lease commencing from 1970,07,01 to 05
HIGH STREET PLAZA,HIGH STREET,Office,"360,000",139.93,"2,573",May-22,Strata,13,"27,692",999 yrs lease commencing from 1827,06,06 to 10
SIM LIM SQUARE,ROCHOR CANAL ROAD,Office,"1,280,000",355.21,"3,603",May-22,Strata,33,"38,788",99 yrs lease commencing from 1983,07,01 to 05
PS100,PECK SEAH STREET,Office,"1,320,000",516.67,"2,555",May-22,Strata,48,"27,500",99 yrs lease commencing from 2011,02,06 to 10
EON SHENTON,SHENTON WAY,Office,"4,100,000","1,765.3","2,323",May-22,Strata,164,"25,000",99 yrs lease commencing from 2011,02,06 to 10
CHIAT HONG BUILDING,MIDDLE ROAD,Office,"3,700,000","3,584.41","1,032",May-22,Strata,333,"11,111",99 yrs lease commencing from 1974,07,01 to 05
CHIAT HONG BUILDING,MIDDLE ROAD,Office,"4,018,692","3,584.41","1,121",May-22,Strata,333,"12,068",99 yrs lease commencing from 1974,07,06 to 10
N.A.,JOO CHIAT ROAD,Office,"3,300,000","3,961.15",833,May-22,Strata,368,"8,967",99 yrs lease commencing from 1995,15,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"523,000",398.27,"1,313",May-22,Strata,37,"14,135",99 yrs lease commencing from 1969,03,11 to 15
BEAUTY WORLD CENTRE,UPPER BUKIT TIMAH ROAD,Office,"890,000",376.74,"2,362",Apr-22,Strata,35,"25,429",99 yrs lease commencing from 1979,21,01 to 05
WIS@CHANGI,CHANGI ROAD,Office,"613,000",484.38,"1,266",Apr-22,Strata,45,"13,622",Freehold,14,01 to 05
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"628,888",376.74,"1,669",Apr-22,Strata,35,"17,968",99 yrs lease commencing from 1969,06,01 to 05
VISION EXCHANGE,VENTURE DRIVE,Office,"1,200,000",764.24,"1,570",Apr-22,Strata,71,"16,901",99 yrs lease commencing from 2013,22,06 to 10
TEXTILE CENTRE,JALAN SULTAN,Office,"700,000",602.78,"1,161",Apr-22,Strata,56,"12,500",99 yrs lease commencing from 1970,07,01 to 05
SUNTEC TOWER TWO,TEMASEK BOULEVARD,Office,"9,176,310","3,336.84","2,750",Apr-22,Strata,310,"29,601",99 yrs lease commencing from 1989,01,16 to 20
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Office,"360,000",226.04,"1,593",Apr-22,Strata,21,"17,143",99 yrs lease commencing from 1980,03,B1 to B5
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,045,000",516.67,"2,023",Apr-22,Strata,48,"21,771",99 yrs lease commencing from 2011,14,01 to 05
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,"13,346,320","4,068.79","3,280",Apr-22,Strata,378,"35,308",99 yrs lease commencing from 1989,01,26 to 30
HAVELOCK2,HAVELOCK ROAD,Office,"1,040,000",635.08,"1,638",Apr-22,Strata,59,"17,627",99 yrs lease commencing from 1983,01,01 to 05
THE CENTRAL,EU TONG SEN STREET,Office,"2,750,000",882.65,"3,116",Apr-22,Strata,82,"33,537",99 yrs lease commencing from 2001,01,16 to 20
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"1,650,000",785.77,"2,100",Apr-22,Strata,73,"22,603",99 yrs lease commencing from 1969,06,11 to 15
PLUS,CECIL STREET,Office,"7,983,040","2,626.42","3,040",Apr-22,Strata,244,"32,717",99 yrs lease commencing from 1989,01,06 to 10
HIGHLAND CENTRE,YIO CHU KANG ROAD,Office,"840,000",656.6,"1,279",Apr-22,Strata,61,"13,770",Freehold,19,01 to 05
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,"800,000",355.21,"2,252",Apr-22,Strata,33,"24,242",Freehold,15,01 to 05
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,"4,511,100","1,367.03","3,300",Apr-22,Strata,127,"35,520",99 yrs lease commencing from 1989,01,16 to 20
MERCHANTS BUILDING,SOUTH BRIDGE ROAD,Office,"20,400,000","5,435.82","3,753",Apr-22,Strata,505,"40,396",Freehold,01,06 to 10
ROCCA BALESTIER,BALESTIER ROAD,Office,"460,000",215.28,"2,137",Apr-22,Strata,20,"23,000",Freehold,12,01 to 05
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"1,180,000",548.96,"2,150",Apr-22,Strata,51,"23,137",99 yrs lease commencing from 1969,06,21 to 25
VISION EXCHANGE,VENTURE DRIVE,Office,"2,038,000","1,033.34","1,972",Apr-22,Strata,96,"21,229",99 yrs lease commencing from 2013,22,06 to 10
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"1,160,800",495.14,"2,344",Apr-22,Strata,46,"25,235",999 yrs lease commencing from 1829,06,06 to 10
CENTROPOD @ CHANGI,CHANGI ROAD,Office,"865,000",624.31,"1,386",Apr-22,Strata,58,"14,914",Freehold,14,01 to 05
ARC 380,JALAN BESAR,Office,"1,880,000",753.48,"2,495",Apr-22,Strata,70,"26,857",Freehold,08,06 to 10
15 SCOTTS,SCOTTS ROAD,Office,"3,600,000",925.7,"3,889",Apr-22,Strata,86,"41,860",Freehold,09,06 to 10
SUNTEC TOWER THREE,TEMASEK BOULEVARD,Office,"11,000,000","3,498.3","3,144",Apr-22,Strata,325,"33,846",99 yrs lease commencing from 1989,01,21 to 25
PLUS,CECIL STREET,Office,"3,886,670","1,270.15","3,060",Apr-22,Strata,118,"32,938",99 yrs lease commencing from 1989,01,06 to 10
PENINSULA SHOPPING COMPLEX,COLEMAN STREET,Office,"605,000",322.92,"1,874",Apr-22,Strata,30,"20,167",999 yrs lease commencing from 1828,06,01 to 05
ORCHARD TOWERS,ORCHARD ROAD,Office,"2,130,000",958,"2,223",Apr-22,Strata,89,"23,933",Freehold,09,06 to 10
FORTUNE CENTRE,MIDDLE ROAD,Office,"3,015,000","2,217.38","1,360",Apr-22,Strata,206,"14,636",99 yrs lease commencing from 1980,07,11 to 15
SBF CENTER,ROBINSON ROAD,Office,"1,920,000",592.02,"3,243",Apr-22,Strata,55,"34,909",99 yrs lease commencing from 2011,01,16 to 20
PARKWAY PARADE,MARINE PARADE ROAD,Office,"1,694,580",925.7,"1,831",Apr-22,Strata,86,"19,704",99 yrs lease commencing from 1979,15,06 to 10
THE MODULES,JOO CHIAT ROAD,Office,"868,000",495.14,"1,753",Apr-22,Strata,46,"18,870",Freehold,15,01 to 05
CONNEXION,FARRER PARK STATION ROAD,Office,"3,830,000",839.59,"4,562",Apr-22,Strata,78,"49,103",99 yrs lease commencing from 2007,08,06 to 10
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"6,080,000","1,227.1","4,955",Mar-22,Strata,114,"53,333",999 yrs lease commencing from 1829,06,01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"3,050,000","1,453.14","2,099",Mar-22,Strata,135,"22,593",99 yrs lease commencing from 1970,02,16 to 20
SIM LIM TOWER,JALAN BESAR,Office,"888,000",365.98,"2,426",Mar-22,Strata,34,"26,118",Freehold,08,B1 to B5
SIM LIM TOWER,JALAN BESAR,Office,"888,000",344.45,"2,578",Mar-22,Strata,32,"27,750",Freehold,08,B1 to B5
SBF CENTER,ROBINSON ROAD,Office,"2,134,400",667.37,"3,198",Mar-22,Strata,62,"34,426",99 yrs lease commencing from 2011,01,21 to 25
BYLANDS BUILDING,MIDDLE ROAD,Office,"420,000",247.57,"1,696",Mar-22,Strata,23,"18,261",99 yrs lease commencing from 1978,07,01 to 05
PENINSULA SHOPPING COMPLEX,COLEMAN STREET,Office,"690,000",344.45,"2,003",Mar-22,Strata,32,"21,563",999 yrs lease commencing from 1828,06,01 to 05
FUYUEN COURT,SIMS AVENUE,Office,"1,680,000",828.83,"2,027",Mar-22,Strata,77,"21,818",Freehold,14,01 to 05
CHINATOWN POINT,NEW BRIDGE ROAD,Office,"1,790,000","1,054.87","1,697",Mar-22,Strata,98,"18,265",99 yrs lease commencing from 1980,01,16 to 20
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"2,980,000","1,388.56","2,146",Mar-22,Strata,129,"23,101",99 yrs lease commencing from 2011,14,11 to 15
GOLDEN MILE COMPLEX,BEACH ROAD,Office,"315,000",204.52,"1,540",Mar-22,Strata,19,"16,579",99 yrs lease commencing from 1969,07,06 to 10
WIS@CHANGI,CHANGI ROAD,Office,"690,000",495.14,"1,394",Mar-22,Strata,46,"15,000",Freehold,14,01 to 05
15 SCOTTS,SCOTTS ROAD,Office,"2,368,000",613.55,"3,860",Mar-22,Strata,57,"41,544",Freehold,09,06 to 10
111 SOMERSET,SOMERSET ROAD,Office,"3,660,000","1,334.74","2,742",Mar-22,Strata,124,"29,516",99 yrs lease commencing from 1975,09,06 to 10
SOHO LIFE,JOO CHIAT ROAD,Office,"510,000",344.45,"1,481",Mar-22,Strata,32,"15,938",Freehold,15,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"970,000",559.73,"1,733",Mar-22,Strata,52,"18,654",99 yrs lease commencing from 2014,25,01 to 05
N.A.,PENHAS ROAD,Office,"8,600,000","8,180.64","1,051",Mar-22,Strata,760,"11,316",Freehold,08,01 to 05
N.A.,ARMENIAN STREET,Office,"1,580,000",548.96,"2,878",Mar-22,Strata,51,"30,980",99 yrs lease commencing from 2007,06,01 to 05
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"1,180,000",548.96,"2,150",Mar-22,Strata,51,"23,137",99 yrs lease commencing from 1969,06,06 to 10
FOOK HAI BUILDING,SOUTH BRIDGE ROAD,Office,"345,000",193.75,"1,781",Mar-22,Strata,18,"19,167",99 yrs lease commencing from 1972,01,01 to 05
THE CENTRAL,EU TONG SEN STREET,Office,"2,410,000",871.88,"2,764",Mar-22,Strata,81,"29,753",99 yrs lease commencing from 2001,01,06 to 10
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"840,000",667.37,"1,259",Mar-22,Strata,62,"13,548",99 yrs lease commencing from 1969,03,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,100,888",538.2,"2,045",Mar-22,Strata,50,"22,018",99 yrs lease commencing from 2011,14,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"2,151,188","1,065.64","2,019",Mar-22,Strata,99,"21,729",99 yrs lease commencing from 2011,14,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,821,770",947.23,"1,923",Mar-22,Strata,88,"20,702",99 yrs lease commencing from 2014,25,01 to 05
15 SCOTTS,SCOTTS ROAD,Office,"2,576,400",678.13,"3,799",Feb-22,Strata,63,"40,895",Freehold,09,06 to 10
CONNEXION,FARRER PARK STATION ROAD,Office,"2,352,000",559.73,"4,202",Feb-22,Strata,52,"45,231",99 yrs lease commencing from 2007,08,11 to 15
GOLDEN MILE COMPLEX,BEACH ROAD,Office,"698,000",441.32,"1,582",Feb-22,Strata,41,"17,024",99 yrs lease commencing from 1969,07,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,089,583",559.73,"1,947",Feb-22,Strata,52,"20,954",99 yrs lease commencing from 2014,25,06 to 10
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,831,500",990.29,"1,849",Feb-22,Strata,92,"19,908",99 yrs lease commencing from 1970,02,26 to 30
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"815,900",398.27,"2,049",Feb-22,Strata,37,"22,051",999 yrs lease commencing from 1829,06,01 to 05
THE ADELPHI,COLEMAN STREET,Office,"4,750,000","2,066.69","2,298",Feb-22,Strata,192,"24,740",999 yrs lease commencing from 1828,06,06 to 10
PENINSULA SHOPPING COMPLEX,COLEMAN STREET,Office,"698,000",322.92,"2,162",Feb-22,Strata,30,"23,267",999 yrs lease commencing from 1828,06,01 to 05
THE ADELPHI,COLEMAN STREET,Office,"2,150,000",742.72,"2,895",Feb-22,Strata,69,"31,159",999 yrs lease commencing from 1828,06,B1 to B5
SHENTON HOUSE,SHENTON WAY,Office,"1,158,000",559.73,"2,069",Feb-22,Strata,52,"22,269",99 yrs lease commencing from 1969,01,11 to 15
15 SCOTTS,SCOTTS ROAD,Office,"4,457,400","1,173.28","3,799",Feb-22,Strata,109,"40,894",Freehold,09,06 to 10
THE ADELPHI,COLEMAN STREET,Office,"7,525,000","2,841.7","2,648",Feb-22,Strata,264,"28,504",999 yrs lease commencing from 1828,06,06 to 10
ORCHARD PLAZA,ORCHARD ROAD,Office,"668,000",452.09,"1,478",Feb-22,Strata,42,"15,905",99 yrs lease commencing from 1977,09,06 to 10
CHINATOWN POINT,NEW BRIDGE ROAD,Office,"4,450,000","2,486.48","1,790",Feb-22,Strata,231,"19,264",99 yrs lease commencing from 1980,01,21 to 25
SLF BUILDING,THOMSON ROAD,Office,"1,385,000","1,539.25",900,Jan-22,Strata,143,"9,685",99 yrs lease commencing from 1979,11,06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"2,280,000",925.7,"2,463",Jan-22,Strata,86,"26,512",99 yrs lease commencing from 2001,01,16 to 20
THE ADELPHI,COLEMAN STREET,Office,"3,900,000","1,442.38","2,704",Jan-22,Strata,134,"29,104",999 yrs lease commencing from 1828,06,06 to 10
SHENTON HOUSE,SHENTON WAY,Office,"2,280,000","1,140.98","1,998",Jan-22,Strata,106,"21,509",99 yrs lease commencing from 1969,01,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,088,888",505.91,"2,152",Jan-22,Strata,47,"23,168",99 yrs lease commencing from 2011,14,11 to 15
THE CENTRAL,EU TONG SEN STREET,Office,"1,860,000",742.72,"2,504",Jan-22,Strata,69,"26,957",99 yrs lease commencing from 2001,01,06 to 10
PS100,PECK SEAH STREET,Office,"1,320,000",516.67,"2,555",Jan-22,Strata,48,"27,500",99 yrs lease commencing from 2011,02,06 to 10
CROSS STREET EXCHANGE,CROSS STREET,Office,"810,800,000","150,761.66","5,378",Jan-22,Land,"14,006.1","57,889",99 yrs lease commencing from 1997,01,-
EASTGATE,EAST COAST ROAD,Office,"1,750,000","1,162.51","1,505",Jan-22,Strata,108,"16,204",Freehold,15,06 to 10
THE PLAZA,BEACH ROAD,Office,"388,000",290.63,"1,335",Jan-22,Strata,27,"14,370",99 yrs lease commencing from 1968,07,01 to 05
PRUDENTIAL TOWER,CECIL STREET,Office,"11,580,000","3,552.12","3,260",Jan-22,Strata,330,"35,091",99 yrs lease commencing from 1996,01,21 to 25
THE PLAZA,BEACH ROAD,Office,"459,000",301.39,"1,523",Jan-22,Strata,28,"16,393",99 yrs lease commencing from 1968,07,01 to 05
THE PLAZA,BEACH ROAD,Office,"459,000",301.39,"1,523",Jan-22,Strata,28,"16,393",99 yrs lease commencing from 1968,07,01 to 05
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,285,000",958,"1,341",Jan-22,Strata,89,"14,438",99 yrs lease commencing from 1997,07,11 to 15
PIL BUILDING,CECIL STREET,Office,"323,800,000","19,535.58","16,575",Jan-22,Land,"1,814.9","178,412",99 yrs lease commencing from 1977,01,-
BURLINGTON SQUARE,BENCOOLEN STREET,Office,"938,000",548.96,"1,709",Jan-22,Strata,51,"18,392",99 yrs lease commencing from 1996,07,11 to 15
TEXTILE CENTRE,JALAN SULTAN,Office,"1,120,000",990.29,"1,131",Jan-22,Strata,92,"12,174",99 yrs lease commencing from 1970,07,01 to 05
SAMSUNG HUB,CHURCH STREET,Office,"16,100,000","3,875.04","4,155",Jan-22,Strata,360,"44,722",999 yrs lease commencing from 1827,01,11 to 15
EON SHENTON,SHENTON WAY,Office,"4,311,608","1,700.71","2,535",Jan-22,Strata,158,"27,289",99 yrs lease commencing from 2011,02,16 to 20
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"600,000",376.74,"1,593",Jan-22,Strata,35,"17,143",99 yrs lease commencing from 1969,06,01 to 05
SHENTON HOUSE,SHENTON WAY,Office,"2,373,000","1,356.26","1,750",Jan-22,Strata,126,"18,833",99 yrs lease commencing from 1969,01,11 to 15
GRANDLINK SQUARE,GUILLEMARD ROAD,Office,"580,000",204.52,"2,836",Jan-22,Strata,19,"30,526",Freehold,14,01 to 05
OXLEY TOWER,ROBINSON ROAD,Office,"3,700,000","1,162.51","3,183",Jan-22,Strata,108,"34,259",Freehold,01,16 to 20
SHENTON HOUSE,SHENTON WAY,Office,"2,435,000","1,356.26","1,795",Jan-22,Strata,126,"19,325",99 yrs lease commencing from 1969,01,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"933,000",484.38,"1,926",Jan-22,Strata,45,"20,733",99 yrs lease commencing from 2011,14,01 to 05
SIM LIM TOWER,JALAN BESAR,Office,"870,003",419.8,"2,072",Jan-22,Strata,39,"22,308",Freehold,08,06 to 10
THE PLAZA,BEACH ROAD,Office,"1,680,000","1,194.8","1,406",Jan-22,Strata,111,"15,135",99 yrs lease commencing from 1968,07,06 to 10
SBF CENTER,ROBINSON ROAD,Office,"2,447,250",753.48,"3,248",Dec-21,Strata,70,"34,961",99 yrs lease commencing from 2011,01,21 to 25
SHENTON HOUSE,SHENTON WAY,Office,"2,700,000","1,506.96","1,792",Dec-21,Strata,140,"19,286",99 yrs lease commencing from 1969,01,21 to 25
THE CENTRAL,EU TONG SEN STREET,Office,"1,630,000",645.84,"2,524",Dec-21,Strata,60,"27,167",99 yrs lease commencing from 2001,01,06 to 10
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,808,000",968.76,"1,866",Dec-21,Strata,90,"20,089",99 yrs lease commencing from 1970,02,16 to 20
HOA NAM BUILDING,FOCH ROAD,Office,"1,480,000",721.19,"2,052",Dec-21,Strata,67,"22,090",Freehold,08,01 to 05
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"1,127,500",548.96,"2,054",Dec-21,Strata,51,"22,108",99 yrs lease commencing from 1969,06,06 to 10
GOLDEN MILE TOWER,BEACH ROAD,Office,"1,460,000","1,194.8","1,222",Dec-21,Strata,111,"13,153",99 yrs lease commencing from 1969,07,06 to 10
EON SHENTON,SHENTON WAY,Office,"2,700,000","1,033.34","2,613",Dec-21,Strata,96,"28,125",99 yrs lease commencing from 2011,02,16 to 20
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,"550,000",172.22,"3,194",Dec-21,Strata,16,"34,375",Freehold,15,B1 to B5
INTERNATIONAL PLAZA,ANSON ROAD,Office,"13,700,000","7,071.95","1,937",Dec-21,Strata,657,"20,852",99 yrs lease commencing from 1970,02,31 to 35
PS100,PECK SEAH STREET,Office,"1,068,000",419.8,"2,544",Dec-21,Strata,39,"27,385",99 yrs lease commencing from 2011,02,06 to 10
THE PLAZA,BEACH ROAD,Office,"700,000",344.45,"2,032",Dec-21,Strata,32,"21,875",99 yrs lease commencing from 1968,07,B1 to B5
GOLDEN MILE TOWER,BEACH ROAD,Office,"1,100,000",914.94,"1,202",Dec-21,Strata,85,"12,941",99 yrs lease commencing from 1969,07,06 to 10
THE PLAZA,BEACH ROAD,Office,"1,860,000","1,302.44","1,428",Dec-21,Strata,121,"15,372",99 yrs lease commencing from 1968,07,16 to 20
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,880,000",936.47,"2,008",Dec-21,Strata,87,"21,609",99 yrs lease commencing from 1970,02,21 to 25
VISION EXCHANGE,VENTURE DRIVE,Office,"1,010,000",516.67,"1,955",Dec-21,Strata,48,"21,042",99 yrs lease commencing from 2013,22,11 to 15
THE PLAZA,BEACH ROAD,Office,"1,316,188",828.83,"1,588",Dec-21,Strata,77,"17,093",99 yrs lease commencing from 1968,07,06 to 10
