Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Office,"3,525,000","1,926.76","1,829",Sep-25,Strata,179,"19,693",999 yrs lease commencing from 1883,21,01 to 05
GOLDHILL SHOPPING CENTRE,THOMSON ROAD,Office,"2,980,000","1,205.57","2,472",Sep-25,Strata,112,"26,607",999 yrs lease commencing from 1970,11,-
BURLINGTON SQUARE,BENCOOLEN STREET,Office,"1,020,000",570.49,"1,788",Sep-25,Strata,53,"19,245",99 yrs lease commencing from 1996,07,11 to 15
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Office,"299,000",193.75,"1,543",Sep-25,Strata,18,"16,611",99 yrs lease commencing from 1980,03,B1 to B5
111 SOMERSET,SOMERSET ROAD,Office,"10,593,541","3,638.23","2,912",Sep-25,Strata,338,"31,342",99 yrs lease commencing from 1975,09,11 to 15
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,010,000",559.73,"1,804",Sep-25,Strata,52,"19,423",99 yrs lease commencing from 2014,25,01 to 05
BURLINGTON SQUARE,BENCOOLEN STREET,Office,"1,020,000",581.26,"1,755",Sep-25,Strata,54,"18,889",99 yrs lease commencing from 1996,07,11 to 15
HAVELOCK2,HAVELOCK ROAD,Office,"1,810,000","1,259.39","1,437",Sep-25,Strata,117,"15,470",99 yrs lease commencing from 1983,01,01 to 05
GOLDEN MILE TOWER,BEACH ROAD,Office,"550,000",344.45,"1,597",Sep-25,Strata,32,"17,188",99 yrs lease commencing from 1969,07,06 to 10
BUKIT PASOH BUILDING,BUKIT PASOH ROAD,Office,"5,400,000","1,722.24","3,135",Sep-25,Strata,160,"33,750",Freehold,02,01 to 05
CENTRIUM SQUARE,SERANGOON ROAD,Office,"1,570,000",613.55,"2,559",Sep-25,Strata,57,"27,544",Freehold,08,11 to 15
WISMA ATRIA,ORCHARD ROAD,Office,"2,705,100","1,270.15","2,130",Sep-25,Strata,118,"22,925",99 yrs lease commencing from 1962,09,16 to 20
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,280,000",645.84,"1,982",Sep-25,Strata,60,"21,333",99 yrs lease commencing from 2011,14,11 to 15
FORTUNE CENTRE,MIDDLE ROAD,Office,"3,195,000","2,238.91","1,427",Sep-25,Strata,208,"15,361",99 yrs lease commencing from 1980,07,16 to 20
BYLANDS BUILDING,MIDDLE ROAD,Office,"365,000",215.28,"1,695",Sep-25,Strata,20,"18,250",99 yrs lease commencing from 1978,07,01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"355,000",161.46,"2,199",Sep-25,Strata,15,"23,667",99 yrs lease commencing from 1970,02,21 to 25
FORTUNE CENTRE,MIDDLE ROAD,Office,"828,888",538.2,"1,540",Sep-25,Strata,50,"16,578",99 yrs lease commencing from 1980,07,11 to 15
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,"638,899",172.22,"3,710",Sep-25,Strata,16,"39,931",Freehold,15,B1 to B5
THE MODULES,JOO CHIAT ROAD,Office,"1,750,000",839.59,"2,084",Sep-25,Strata,78,"22,436",Freehold,15,01 to 05
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,"1,211,010","1,227.1",987,Sep-25,Strata,114,"10,623",99 yrs lease commencing from 1974,07,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,200,000",559.73,"2,144",Sep-25,Strata,52,"23,077",99 yrs lease commencing from 2014,25,11 to 15
SOHO LIFE,JOO CHIAT ROAD,Office,"800,000",398.27,"2,009",Sep-25,Strata,37,"21,622",Freehold,15,01 to 05
